Data Entrada,Ativo,Direção,Regime,Regime Macro,Classe,Score,Preço Entrada,Stop Inicial,Stop Final,BE/Parcial (2.0R),MAE (R),MFE (R),Datas Saída,Preços Saída,Motivo Saída,Taxas (R$),Funding (R$),Resultado (R$),Resultado (R),Saldo Acumulado (R$)
2022-06-10 12:00,BTC,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,BTC,93.2,$29990.3973,$31401.7000 (4.71%),$29960.4069,$27167.7919,0.0,4.23,2022-06-12 04:00 | 2022-07-07 16:00,$27167.7919 | $21797.8000,Parcial Segurança (2.0R / 50%) | Trailing Runner 50% (ema20_1d),R$ 56.02,R$ -52.16,"R$ +6,278.18",3.9,"R$ 113,930.39"
2022-07-12 16:00,BTC,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,BTC,101.8,$19866.9616,$21435.4500 (7.89%),$21435.4500,$16729.9847,-0.84,0.35,2022-07-16 16:00,$21452.5984,Stop Loss Inicial,R$ 34.62,R$ -8.36,"R$ -1,797.83",-1.03,"R$ 112,132.56"
2022-08-26 08:00,BTC,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,BTC,100.2,$21427.5809,$22340.2214 (4.26%),$21406.1533,$19602.2997,0.0,2.06,2022-08-28 20:00 | 2022-09-09 04:00,$19602.2997 | $20623.6000,Parcial Segurança (2.0R / 50%) | Trailing Runner 50% (ema20_1d),R$ 63.08,R$ 2.89,"R$ +2,437.49",1.4,"R$ 114,570.05"
2022-09-18 16:00,BTC,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,BTC,109.5,$19794.4978,$20575.1179 (3.94%),$19774.7033,$18233.2577,0.0,1.71,2022-09-19 04:00 | 2022-09-21 16:00,$18233.2577 | $19790.5231,Parcial Segurança (2.0R / 50%) | Stop BE Runner (50%),R$ 69.05,R$ -5.40,"R$ +1,721.11",0.97,"R$ 116,291.16"
2022-10-02 16:00,BTC,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,BTC,87.9,$19127.5314,$19877.4464 (3.92%),$19877.4464,$17627.7015,-1.11,0.1,2022-10-04 04:00,$19893.3484,Stop Loss Inicial,R$ 71.65,R$ -14.90,"R$ -1,931.59",-1.05,"R$ 114,359.58"
2022-09-16 04:00,ETH,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,ETH,115.0,$1471.8737,$1589.6236 (8.00%),$1470.4018,$1236.3739,-0.05,1.93,2022-09-21 20:00 | 2022-10-06 00:00,$1236.3739 | $1372.0500,Parcial Segurança (2.0R / 50%) | Trailing Runner 50% (ema20_1d),R$ 35.27,R$ 3.00,"R$ +2,495.86",1.4,"R$ 116,855.44"
2022-10-10 12:00,BTC,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,BTC,112.6,$19313.6384,$19989.6157 (3.50%),$19294.3247,$17961.6837,-0.03,0.84,2022-10-13 12:00 | 2022-10-13 16:00,$17961.6837 | $19309.7602,Parcial Segurança (2.0R / 50%) | Stop BE Runner (50%),R$ 79.36,R$ -47.12,"R$ +1,792.72",0.99,"R$ 118,648.16"
2022-10-09 00:00,ETH,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,ETH,99.0,$1314.0926,$1383.0364 (5.25%),$1312.7785,$1176.2050,-0.17,1.04,2022-10-13 12:00 | 2022-10-14 00:00,$1176.2050 | $1313.8288,Parcial Segurança (2.0R / 50%) | Stop BE Runner (50%),R$ 53.40,R$ -5.25,"R$ +1,775.12",0.98,"R$ 120,423.28"
2022-10-15 04:00,ETH,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,ETH,114.1,$1298.9202,$1392.3918 (7.20%),$1392.3918,$1111.9771,-1.16,0.27,2022-10-25 12:00,$1393.5057,Stop Loss Inicial,R$ 40.49,R$ -23.61,"R$ -1,913.58",-1.02,"R$ 118,509.69"
2022-10-20 04:00,BTC,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,BTC,103.3,$19023.6834,$19995.2357 (5.11%),$19995.2357,$17080.5788,-1.28,0.09,2022-10-25 16:00,$20011.2319,Stop Loss Inicial,R$ 56.51,R$ -26.91,"R$ -1,935.96",-1.03,"R$ 116,573.73"
2022-11-13 08:00,ETH,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,ETH,125.5,$1249.7648,$1349.7460 (8.00%),$1349.7460,$1049.8024,-0.45,1.65,2022-12-04 08:00,$1254.6000,Time-Stop (21d),R$ 34.27,R$ 7.96,R$ -130.46,-0.07,"R$ 116,443.27"
2022-11-13 12:00,BTC,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,BTC,129.5,$16643.4741,$17731.5321 (6.54%),$17731.5321,$14467.3580,-0.47,0.86,2022-12-04 12:00,$17022.2000,Time-Stop (21d),R$ 42.33,R$ -20.87,R$ -656.37,-0.36,"R$ 115,786.91"
2022-12-08 00:00,ETH,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,ETH,98.9,$1230.1646,$1306.7121 (6.22%),$1306.7121,$1077.0695,-1.23,0.0,2022-12-13 12:00,$1307.7575,Stop Loss Inicial,R$ 22.59,R$ -7.57,R$ -936.06,-1.03,"R$ 114,850.85"
2022-12-19 04:00,ETH,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,ETH,112.8,$1177.9907,$1222.0368 (3.74%),$1222.0368,$1089.8986,-0.68,0.24,2022-12-20 04:00,$1223.0144,Stop Loss Inicial,R$ 36.92,R$ -2.02,R$ -958.12,-1.06,"R$ 113,892.72"
2022-12-19 20:00,BTC,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,BTC,102.0,$16541.0253,$17119.9612 (3.50%),$17119.9612,$15383.1536,-0.64,0.13,2022-12-31 00:00,$16549.1000,Fechamento Fim do Período (MtM),R$ 38.70,R$ -50.13,R$ -1.17,-0.0,"R$ 113,891.56"
2022-12-28 04:00,ETH,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,ETH,95.8,$1196.4115,$1252.2239 (4.66%),$1252.2239,$1084.7866,-0.08,0.15,2022-12-31 00:00,$1194.2800,Fechamento Fim do Período (MtM),R$ 28.87,R$ -13.42,R$ +18.81,0.02,"R$ 113,910.37"
