Data Entrada,Ativo,Regime,Score,Preço Entrada,Stop Loss,Alvo 1,Alvo 2,Datas Saída,Preços Saída,Motivo Saída,Resultado (R$),Saldo Acumulado (R$)
2026-05-05 00:00,HYPE,Tendência (2.5R),100/100,$41.8259,$41.8259 (-5.20%),$47.2640,$50.5268,2026-05-11 04:00,$41.7924,Stop no Breakeven (Pessimista),R$ -0.83,R$ 205.68
2026-04-28 08:00,ZBT,Tendência (2.5R),96/100,$0.2105,$0.1106 (-47.48%),$0.4604,$0.6104,2026-05-12 08:00,$0.1556,Time-Stop (14d),R$ -5.87,R$ 199.68
2026-04-28 16:00,XMR,Tendência (2.5R),92/100,$383.9219,$383.9219 (-6.36%),$444.9480,$481.5636,2026-05-12 16:00,$410.2400,Time-Stop (14d),R$ +9.60,R$ 211.27
2026-05-11 04:00,VVV,Tendência (2.5R),96/100,$15.2456,$15.2456 (-14.96%),$20.9487,$24.3705,2026-05-13 00:00,$15.2334,Stop no Breakeven (Pessimista),R$ -0.20,R$ 211.13
2026-05-13 00:00,ZEC,Tendência (2.5R),100/100,$571.1354,$512.6207 (-10.25%),$717.4222,$805.1943,2026-05-15 12:00,$512.2106,Stop Loss Inicial (Pessimista),R$ -10.79,R$ 200.29
2026-05-12 08:00,UB,Tendência (2.5R),91/100,$0.1570,$0.1570 (-28.60%),$0.2693,$0.3367,2026-05-16 16:00,$0.1569,Stop no Breakeven (Pessimista),R$ -0.14,R$ 200.19
2026-05-15 12:00,TRUTH,Tendência (2.5R),96/100,$0.0212,$0.0140 (-34.01%),$0.0392,$0.0500,2026-05-18 08:00,$0.0140,Stop Loss Inicial (Pessimista),R$ -10.09,R$ 190.05
2026-05-12 16:00,SKYAI,Consolidação (1.8R),95/100,$0.5761,$0.2601 (-54.86%),$1.1450,$1.4610,2026-05-22 00:00,$0.2599,Stop Loss Inicial (Pessimista),R$ -10.62,R$ 179.34
2026-05-22 00:00,HYPER,Tendência (2.5R),86/100,$0.1212,$0.1079 (-10.98%),$0.1544,$0.1743,2026-05-22 16:00,$0.1078,Stop Loss Inicial (Pessimista),R$ -9.16,R$ 178.69
2026-05-16 16:00,CHZ,Consolidação (1.8R),86/100,$0.0465,$0.0398 (-14.39%),$0.0585,$0.0652,2026-05-22 20:00,$0.0398,Stop Loss Inicial (Pessimista),R$ -10.22,R$ 168.52
2026-05-18 08:00,VVV,Consolidação (1.8R),96/100,$14.6853,$14.6853 (-20.68%),$20.1531,$23.1908,2026-05-22 12:00 | 2026-05-23 04:00,$20.1531 | $17.2210,Alvo 1 (1.8R) | Trailing EMA20,R$ +12.37,R$ 172.41
2026-05-22 16:00,ORCA,Consolidação (1.8R),79/100,$1.4657,$1.3307 (-9.21%),$1.7088,$1.8438,2026-05-26 12:00,$1.3296,Stop Loss Inicial (Pessimista),R$ -9.25,R$ 163.11
2026-05-22 20:00,LAB,Consolidação (1.8R),75/100,$4.6988,$3.8205 (-18.69%),$6.2798,$7.1581,2026-05-27 04:00,$3.8175,Stop Loss Inicial (Pessimista),R$ -8.57,R$ 154.42
2026-05-26 12:00,BNB,Consolidação (1.8R),88/100,$663.1414,$640.7011 (-3.38%),$703.5340,$725.9743,2026-05-28 00:00,$640.1885,Stop Loss Inicial (Pessimista),R$ -8.76,R$ 145.76
2026-05-23 16:00,VVV,Consolidação (1.8R),80/100,$18.1671,$15.4994 (-14.68%),$22.9688,$25.6365,2026-05-28 04:00,$15.4870,Stop Loss Inicial (Pessimista),R$ -8.82,R$ 137.06
2026-05-27 04:00,ATOM,Consolidação (1.8R),84/100,$2.2211,$2.0162 (-9.23%),$2.5900,$2.7949,2026-05-28 08:00,$2.0146,Stop Loss Inicial (Pessimista),R$ -7.92,R$ 129.22
2026-07-06 04:00,BASED,Consolidação (1.8R),84/100,$0.0959,$0.0773 (-19.37%),$0.1293,$0.1479,2026-07-08 00:00,$0.0772,Stop Loss Inicial (Pessimista),R$ -6.54,R$ 122.61
2026-07-06 04:00,XPL,Consolidação (1.8R),84/100,$0.1121,$0.0965 (-13.88%),$0.1401,$0.1557,2026-07-08 00:00,$0.0965,Stop Loss Inicial (Pessimista),R$ -6.57,R$ 116.08
2026-07-06 04:00,PUMP,Consolidação (1.8R),88/100,$0.0017,$0.0014 (-14.56%),$0.0021,$0.0023,2026-07-11 20:00,$0.0014,Stop Loss Inicial (Pessimista),R$ -6.56,R$ 109.48
2026-07-11 20:00,RIF,Consolidação (1.8R),88/100,$0.1325,$0.1131 (-14.66%),$0.1675,$0.1869,2026-07-21 04:00,$0.1130,Stop Loss Inicial (Pessimista),R$ -5.58,R$ 103.84
2026-07-10 04:00,AAVE,Consolidação (1.8R),84/100,$93.6668,$82.5636 (-11.85%),$113.6526,$124.7559,2026-07-24 04:00,$96.2700,Time-Stop (14d),R$ +1.22,R$ 104.99
2026-07-10 04:00,LIT,Consolidação (1.8R),84/100,$2.4779,$2.0713 (-16.41%),$3.2100,$3.6166,2026-07-24 04:00,$2.1398,Time-Stop (14d),R$ -4.92,R$ 100.15
2026-07-24 04:00,US,Consolidação (1.8R),80/100,$0.0466,$0.0466 (-13.64%),$0.0580,$0.0644,2026-07-24 12:00,$0.0465,Stop no Breakeven (Pessimista),R$ -0.09,R$ 100.01
2026-07-24 04:00,INJ,Consolidação (1.8R),84/100,$5.3587,$4.9108 (-8.36%),$6.1649,$6.6128,2026-07-26 04:00,$4.9069,Stop Loss Inicial (Pessimista),R$ -5.11,R$ 94.89
2026-07-21 04:00,XMR,Consolidação (1.8R),91/100,$347.2435,$347.2435 (-6.55%),$388.1530,$410.8804,2026-07-27 12:00,$346.9657,Stop no Breakeven (Pessimista),R$ -0.35,R$ 99.07
2026-07-24 12:00,BANK,Consolidação (1.8R),80/100,$0.2860,$0.2860 (-49.05%),$0.5386,$0.6789,2026-07-27 04:00 | 2026-07-27 12:00,$0.5386 | $0.3262,Alvo 1 (1.8R) | Trailing EMA20,R$ +5.19,R$ 99.78
2026-07-26 04:00,ETH,Consolidação (1.8R),92/100,$1882.3407,$1882.3407 (-3.24%),$1992.1098,$2053.0927,2026-07-27 20:00,$1880.8348,Stop no Breakeven (Pessimista),R$ -0.37,R$ 99.55
2026-07-28 12:00,BANK,Consolidação (1.8R),84/100,$0.3663,$0.1304 (-64.41%),$0.7910,$1.0269,2026-07-30 04:00,$0.1303,Stop Loss Inicial (Pessimista),R$ -4.98,R$ 94.55
2026-07-30 04:00,LIT,Consolidação (1.8R),80/100,$2.2403,$1.9668 (-12.21%),$2.7327,$3.0062,2026-08-03 00:00,$1.9652,Stop Loss Inicial (Pessimista),R$ -4.83,R$ 89.70
2026-07-27 20:00,DODOX,Consolidação (1.8R),77/100,$0.0193,$0.0193 (-23.53%),$0.0275,$0.0320,2026-08-05 16:00 | 2026-08-06 04:00,$0.0275 | $0.0320,Alvo 1 (1.8R) | Alvo 2,R$ +11.41,R$ 101.06
2026-07-28 00:00,EPIC,Consolidação (1.8R),80/100,$0.7218,$0.7218 (-37.46%),$1.2084,$1.4787,2026-08-07 20:00 | 2026-08-09 04:00,$1.2084 | $1.0064,Alvo 1 (1.8R) | Trailing EMA20,R$ +7.05,R$ 108.15
2026-08-06 04:00,T,Consolidação (1.8R),83/100,$0.0035,$0.0035 (-7.32%),$0.0039,$0.0042,2026-08-11 12:00,$0.0035,Stop no Breakeven (Pessimista),R$ -0.02,R$ 107.85
2026-08-12 00:00,ENA,Consolidação (1.8R),84/100,$0.0901,$0.0837 (-7.17%),$0.1018,$0.1082,2026-08-14 08:00,$0.0836,Stop Loss Inicial (Pessimista),R$ -5.56,R$ 102.13
2026-08-03 00:00,ZEC,Consolidação (1.8R),87/100,$489.8648,$444.5239 (-9.26%),$571.4784,$616.8193,2026-08-17 00:00,$492.8400,Time-Stop (14d),R$ +0.09,R$ 102.20
2026-08-09 04:00,TRX,Consolidação (1.8R),96/100,$0.3299,$0.3299 (-1.47%),$0.3387,$0.3435,2026-08-17 12:00,$0.3297,Stop no Breakeven (Pessimista),R$ -0.80,R$ 101.57
2026-08-17 00:00,QQQ,Consolidação (1.8R),80/100,$733.9068,$722.8982 (-1.50%),$753.7223,$764.7309,2026-08-18 08:00,$722.3198,Stop Loss Inicial (Pessimista),R$ -4.41,R$ 97.33
2026-08-14 12:00,XMR,Consolidação (1.8R),84/100,$401.6907,$379.1643 (-5.61%),$442.2384,$464.7648,2026-08-19 00:00,$409.8600,Fechamento Fim do Período (MtM),R$ +1.53,R$ 99.00
2026-08-17 12:00,ACE,Tendência (2.5R),86/100,$0.1898,$0.0706 (-62.79%),$0.4877,$0.6664,2026-08-19 00:00,$0.2234,Fechamento Fim do Período (MtM),R$ +1.54,R$ 100.42
2026-08-18 08:00,TRX,Consolidação (1.8R),100/100,$0.3334,$0.3259 (-2.24%),$0.3469,$0.3544,2026-08-19 00:00,$0.3328,Fechamento Fim do Período (MtM),R$ -0.72,R$ 99.86
