Data,Ativo,Score,Motivo do Veto,Resultado Simulado,Prejuízo Evitado Base,Prejuízo Evitado 100k
2025-08-30 00:00,FET,52/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%) | Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-08-30 00:00,INJ,58/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%) | Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-08-30 00:00,PENDLE,52/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%) | Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-08-30 00:00,TIA,44/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%) | Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-08-30 00:00,PEPE,61/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%) | Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-08-30 00:00,TON,44/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%) | Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-08-30 04:00,SUI,50/100,Vesting (Desbloqueio de Vesting SUI > 1% (Cliff mensal no dia 1)) | Suporte Macro do BTC Perdido (< EMA50 1D -3%) | Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-08-30 04:00,ARB,52/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%) | Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-08-30 04:00,OP,61/100,Vesting (Desbloqueio de Vesting OP > 1% (Cliff no fim do mês)) | Suporte Macro do BTC Perdido (< EMA50 1D -3%),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-08-30 04:00,FET,44/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%) | Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-08-30 04:00,PENDLE,44/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%) | Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-08-30 16:00,PENDLE,44/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%) | Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-08-30 20:00,BNB,80/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-08-30 20:00,ARB,52/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%) | Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-08-31 00:00,OP,71/100,Vesting (Desbloqueio de Vesting OP > 1% (Cliff no fim do mês)) | Suporte Macro do BTC Perdido (< EMA50 1D -3%),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-08-31 00:00,AAVE,79/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-08-31 00:00,INJ,64/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%) | Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Prejuízo evitado: -R$ 8.45 (-6.80%),R$ 8.45,"R$ 4,224.00"
2025-08-31 00:00,GALA,65/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-08-31 12:00,BNB,84/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%),Prejuízo evitado: -R$ 8.45 (-2.41%),R$ 8.45,"R$ 4,223.48"
2025-08-31 16:00,BNB,84/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%),Prejuízo evitado: -R$ 8.45 (-2.68%),R$ 8.45,"R$ 4,222.97"
2025-09-01 04:00,NEAR,56/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%) | Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-01 04:00,SUI,56/100,Vesting (Desbloqueio de Vesting SUI > 1% (Cliff mensal no dia 1)) | Suporte Macro do BTC Perdido (< EMA50 1D -3%),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-01 04:00,APT,73/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-01 04:00,ARB,81/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-01 04:00,OP,73/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%) | Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-01 04:00,RENDER,66/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%) | Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-01 04:00,FET,56/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-01 04:00,ONDO,76/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%) | Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-01 04:00,LINK,84/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-01 04:00,INJ,76/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%) | Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-01 04:00,TIA,66/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%) | Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-01 04:00,PEPE,56/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-01 04:00,GALA,66/100,Suporte Macro do BTC Perdido (< EMA50 1D -3%),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-02 00:00,BNB,74/100,Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-02 00:00,NEAR,66/100,Score insuficiente (66/100 < 75),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-02 00:00,SUI,66/100,Vesting (Desbloqueio de Vesting SUI > 1% (Cliff mensal no dia 1)) | Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-02 00:00,ARB,64/100,Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-02 00:00,OP,74/100,Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-02 00:00,RENDER,56/100,Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-02 00:00,FET,56/100,Score insuficiente (56/100 < 75),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-02 00:00,LINK,74/100,Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-02 00:00,INJ,66/100,Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-02 00:00,PENDLE,62/100,Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-02 00:00,PEPE,66/100,Score insuficiente (66/100 < 75),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-02 00:00,GALA,66/100,Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-03 00:00,ONDO,68/100,Score insuficiente (68/100 < 75),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-03 08:00,ONDO,73/100,Score insuficiente (73/100 < 75),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-03 08:00,PENDLE,66/100,Score insuficiente (66/100 < 75),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-03 12:00,RENDER,73/100,Score insuficiente (73/100 < 75),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-03 12:00,TIA,73/100,Score insuficiente (73/100 < 75),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-04 20:00,APT,56/100,Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-04 20:00,RENDER,56/100,Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-05 00:00,TIA,66/100,Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-05 04:00,APT,73/100,Vesting (Desbloqueio de Vesting APT > 1% (Cliff mensal no dia 11/12)),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-05 04:00,LINK,81/100,Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-05 20:00,OP,73/100,Score insuficiente (73/100 < 75),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-05 20:00,INJ,71/100,Score insuficiente (71/100 < 75),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-06 16:00,TON,48/100,Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-07 00:00,NEAR,71/100,Score insuficiente (71/100 < 75),Alvo 1 atingido (Filtrado pelo protocolo),"R$ 0,00","R$ 0,00"
2025-09-07 00:00,SUI,65/100,Score insuficiente (65/100 < 75),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-07 00:00,AAVE,54/100,Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-07 00:00,INJ,65/100,Score insuficiente (65/100 < 75),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-07 00:00,TIA,71/100,Score insuficiente (71/100 < 75),Alvo 1 atingido (Filtrado pelo protocolo),"R$ 0,00","R$ 0,00"
2025-09-07 00:00,GALA,65/100,Score insuficiente (65/100 < 75),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-07 00:00,TON,48/100,Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-07 08:00,PEPE,73/100,Score insuficiente (73/100 < 75),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-07 12:00,TIA,73/100,Score insuficiente (73/100 < 75),Alvo 1 atingido (Filtrado pelo protocolo),"R$ 0,00","R$ 0,00"
2025-09-08 00:00,APT,87/100,Vesting (Desbloqueio de Vesting APT > 1% (Cliff mensal no dia 11/12)),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-08 08:00,PEPE,72/100,Score insuficiente (72/100 < 75),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-09 00:00,APT,77/100,Vesting (Desbloqueio de Vesting APT > 1% (Cliff mensal no dia 11/12)),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-09 04:00,AAVE,73/100,Score insuficiente (73/100 < 75),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-09 04:00,TON,73/100,Score insuficiente (73/100 < 75),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-10 00:00,APT,87/100,Vesting (Desbloqueio de Vesting APT > 1% (Cliff mensal no dia 11/12)),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-10 12:00,APT,96/100,Vesting (Desbloqueio de Vesting APT > 1% (Cliff mensal no dia 11/12)),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-10 12:00,ARB,100/100,Vesting (Desbloqueio de Vesting ARB > 1% (Cliff mensal no dia 16)),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-11 00:00,APT,85/100,Vesting (Desbloqueio de Vesting APT > 1% (Cliff mensal no dia 11/12)),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-11 00:00,ARB,96/100,Vesting (Desbloqueio de Vesting ARB > 1% (Cliff mensal no dia 16)),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-11 20:00,APT,96/100,Vesting (Desbloqueio de Vesting APT > 1% (Cliff mensal no dia 11/12)),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-11 20:00,ARB,90/100,Vesting (Desbloqueio de Vesting ARB > 1% (Cliff mensal no dia 16)),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-12 00:00,APT,100/100,Vesting (Desbloqueio de Vesting APT > 1% (Cliff mensal no dia 11/12)),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-12 16:00,APT,100/100,Vesting (Desbloqueio de Vesting APT > 1% (Cliff mensal no dia 11/12)),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-12 16:00,ARB,85/100,Vesting (Desbloqueio de Vesting ARB > 1% (Cliff mensal no dia 16)),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-12 20:00,APT,91/100,Vesting (Desbloqueio de Vesting APT > 1% (Cliff mensal no dia 11/12)),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-12 20:00,ARB,85/100,Vesting (Desbloqueio de Vesting ARB > 1% (Cliff mensal no dia 16)),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-13 00:00,APT,91/100,Vesting (Desbloqueio de Vesting APT > 1% (Cliff mensal no dia 11/12)),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-15 20:00,SUI,74/100,Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-15 20:00,ARB,76/100,Vesting (Desbloqueio de Vesting ARB > 1% (Cliff mensal no dia 16)) | Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-15 20:00,RENDER,68/100,Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-15 20:00,FET,68/100,Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-15 20:00,LINK,68/100,Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-15 20:00,AAVE,68/100,Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-15 20:00,INJ,60/100,Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-15 20:00,TIA,60/100,Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-15 20:00,PEPE,68/100,Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-15 20:00,GALA,60/100,Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-16 04:00,NEAR,78/100,Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-16 04:00,APT,64/100,Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-16 04:00,FET,60/100,Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-16 04:00,INJ,68/100,Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-16 04:00,TIA,60/100,Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-16 04:00,GALA,68/100,Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-16 16:00,ARB,68/100,Vesting (Desbloqueio de Vesting ARB > 1% (Cliff mensal no dia 16)) | Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-16 16:00,AAVE,70/100,Score insuficiente (70/100 < 75),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-17 16:00,ARB,95/100,Vesting (Desbloqueio de Vesting ARB > 1% (Cliff mensal no dia 16)),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-17 20:00,ARB,95/100,Vesting (Desbloqueio de Vesting ARB > 1% (Cliff mensal no dia 16)),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-17 20:00,TON,60/100,Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-20 04:00,ARB,68/100,Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Prejuízo evitado: -R$ 9.92 (-5.70%),R$ 9.92,"R$ 4,961.81"
2025-09-20 04:00,TIA,70/100,Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Prejuízo evitado: -R$ 9.92 (-6.30%),R$ 9.92,"R$ 4,961.81"
2025-09-20 12:00,ARB,74/100,Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Prejuízo evitado: -R$ 10.54 (-5.69%),R$ 10.54,"R$ 5,270.22"
2025-09-22 12:00,AVAX,66/100,Score insuficiente (66/100 < 75),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-22 12:00,PENDLE,58/100,Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-22 20:00,ETH,48/100,Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Prejuízo evitado: -R$ 10.93 (-5.35%),R$ 10.93,"R$ 5,462.72"
2025-09-22 20:00,NEAR,66/100,Score insuficiente (66/100 < 75),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-22 20:00,APT,62/100,Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-22 20:00,ARB,48/100,Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-22 20:00,OP,56/100,Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-22 20:00,FET,48/100,Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-22 20:00,ONDO,48/100,Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-22 20:00,LINK,54/100,Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
2025-09-22 20:00,AAVE,48/100,Preço < EMA50 4h sem Volume Agressor (Ratio < 1.3),Consolidação sem alvo/stop,"R$ 0,00","R$ 0,00"
