Data Entrada,Ativo,Direção,Regime,Regime Macro,Classe,Score,Preço Entrada,Stop Inicial,Stop Final,BE/Parcial (2.0R),MAE (R),MFE (R),Datas Saída,Preços Saída,Motivo Saída,Taxas (R$),Funding (R$),Resultado (R$),Resultado (R),Saldo Acumulado (R$)
2021-02-26 04:00,CTSI,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,117.3,$0.2220,$0.2042 (8.00%),$0.2222,$0.2575,-0.12,1.98,2021-02-26 08:00 | 2021-02-26 16:00,$0.2575 | $0.2220,Parcial Segurança (2.0R / 50%) | Stop BE Runner (50%),R$ 39.34,R$ 3.76,"R$ +1,976.62",0.98,"R$ 129,554.01"
2021-02-26 16:00,CTSI,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,128.5,$0.2306,$0.2122 (8.00%),$0.2122,$0.2675,-1.65,0.0,2021-02-26 20:00,$0.2120,Stop Loss Inicial,R$ 39.94,R$ 0.00,"R$ -2,106.35",-1.03,"R$ 127,447.66"
2021-03-02 04:00,CTSI,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,118.0,$0.2086,$0.1919 (8.00%),$0.1919,$0.2420,-1.31,0.0,2021-03-02 16:00,$0.1918,Stop Loss Inicial,R$ 39.34,R$ 4.75,"R$ -2,079.13",-1.03,"R$ 125,368.53"
2021-03-02 04:00,COMP,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,136.6,$504.3320,$463.9855 (8.00%),$463.9855,$585.0252,-1.05,0.17,2021-03-04 16:00,$463.6143,Stop Loss Inicial,R$ 39.34,R$ 19.94,"R$ -2,094.61",-1.04,"R$ 123,273.92"
2021-03-07 08:00,SNX,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,103.0,$21.5398,$19.8166 (8.00%),$19.8166,$24.9861,-1.0,0.67,2021-03-12 08:00,$19.8007,Stop Loss Inicial,R$ 19.33,R$ 74.66,"R$ -1,094.06",-1.1,"R$ 122,179.86"
2021-03-02 16:00,CTSI,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,128.9,$0.1988,$0.1829 (8.00%),$0.1990,$0.2306,-0.21,2.73,2021-03-03 08:00 | 2021-03-12 16:00,$0.2306 | $0.2246,Parcial Segurança (2.0R / 50%) | Trailing Runner 50% (ema20_1d),R$ 39.91,R$ 47.96,"R$ +3,505.70",1.77,"R$ 125,685.56"
2021-03-04 04:00,BTC,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,BTC,116.8,$49634.4248,$45663.6708 (8.00%),$49684.0592,$57575.9328,-0.59,1.83,2021-03-11 16:00 | 2021-03-22 20:00,$57575.9328 | $54129.5600,Parcial Segurança (2.0R / 50%) | Trailing Runner 50% (ema20_1d),R$ 40.12,R$ 437.62,"R$ +2,675.28",1.33,"R$ 128,360.85"
2021-01-24 04:00,BNB,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,111.6,$41.4647,$38.1475 (8.00%),$41.5062,$48.0991,-0.27,44.11,2021-02-01 08:00 | 2021-03-24 20:00,$48.0991 | $248.4680,Parcial Segurança (2.0R / 50%) | Trailing Runner 50% (ema20_1d),R$ 86.83,"R$ 7,024.37","R$ +58,063.19",28.69,"R$ 186,424.04"
2021-03-17 04:00,XMR,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,95.3,$228.3941,$210.1226 (8.00%),$210.1226,$264.9372,-0.97,0.5,2021-03-24 20:00,$209.9545,Stop Loss Inicial,R$ 38.75,R$ 452.95,"R$ -2,496.59",-1.26,"R$ 183,927.46"
2021-03-27 16:00,BTC,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,BTC,115.2,$55004.1583,$50603.8257 (8.00%),$55059.1625,$63804.8237,-0.02,1.91,2021-04-13 16:00 | 2021-04-18 00:00,$63804.8237 | $55015.1152,Parcial Segurança (2.0R / 50%) | Stop BE Runner (50%),R$ 56.51,"R$ 1,495.34","R$ +1,349.41",0.47,"R$ 185,276.86"
