Data Entrada,Ativo,Regime,Score,Preço Entrada,Stop Loss,Alvo 1,Alvo 2,Datas Saída,Preços Saída,Motivo Saída,Funding Fees (R$),Resultado Base (R$),Resultado 100k (R$),Saldo Acumulado Base
2025-10-26 08:00,BNB,Consolidação (1.8R),91/100,$1135.2800,$1080.1486 (-4.86%),$1234.5166,$1289.6480,2025-10-28 20:00,$1080.1486,Stop Loss Inicial,R$ -0.05,R$ -10.68,"R$ -5,341.11",R$ 189.07
2025-10-28 04:00,SOL,Consolidação (1.8R),78/100,$202.3500,$191.7032 (-5.26%),$221.5142,$232.1610,2025-10-28 20:00,$191.7032,Stop Loss Inicial,R$ 0.03,R$ -10.29,"R$ -5,147.00",R$ 178.95
2025-10-27 16:00,AVAX,Tendência (2.5R),77/100,$20.6000,$18.7557 (-8.95%),$25.2107,$27.9771,2025-10-30 12:00,$18.7557,Stop Loss Inicial,R$ -0.05,R$ -10.43,"R$ -5,215.35",R$ 168.51
2025-10-29 08:00,APT,Consolidação (1.8R),75/100,$3.4200,$3.1773 (-7.10%),$3.8569,$4.0996,2025-10-30 12:00,$3.1773,Stop Loss Inicial,R$ -0.10,R$ -9.03,"R$ -4,515.02",R$ 159.47
2025-10-29 00:00,TON,Consolidação (1.8R),75/100,$2.2660,$2.1130 (-6.75%),$2.5414,$2.6944,2025-10-30 16:00,$2.1130,Stop Loss Inicial,R$ -0.04,R$ -9.10,"R$ -4,549.58",R$ 150.44
2025-11-02 08:00,OP,Consolidação (1.8R),75/100,$0.4291,$0.3814 (-11.12%),$0.5150,$0.5627,2025-11-03 04:00,$0.3814,Stop Loss Inicial,R$ 0.01,R$ -7.62,"R$ -3,812.38",R$ 142.78
2025-11-02 04:00,FET,Consolidação (1.8R),79/100,$0.2664,$0.2201 (-17.40%),$0.3498,$0.3962,2025-11-03 12:00,$0.2201,Stop Loss Inicial,R$ 0.01,R$ -7.59,"R$ -3,796.48",R$ 135.22
2026-01-02 00:00,ETH,Consolidação (1.8R),87/100,$3022.5300,$3022.5300 (-3.41%),$3207.7860,$3310.7060,2026-01-05 00:00 | 2026-01-07 12:00,$3207.7860 | $3164.7000,Alvo 1 (1.8R) | Trailing EMA20,R$ 0.13,R$ +10.31,"R$ +5,157.46",R$ 157.34
2026-01-02 00:00,INJ,Consolidação (1.8R),83/100,$4.6250,$4.6250 (-13.38%),$5.7389,$6.3578,2026-01-06 12:00 | 2026-01-07 12:00,$5.7389 | $5.2550,Alvo 1 (1.8R) | Trailing EMA20,R$ 0.05,R$ +9.38,"R$ +4,690.82",R$ 160.76
2026-01-02 00:00,SOL,Consolidação (1.8R),79/100,$127.5300,$127.5300 (-6.00%),$141.2949,$148.9420,2026-01-06 12:00 | 2026-01-07 12:00,$141.2949 | $135.7000,Alvo 1 (1.8R) | Trailing EMA20,R$ 0.11,R$ +9.40,"R$ +4,699.87",R$ 164.32
2026-01-08 12:00,OP,Consolidação (1.8R),80/100,$0.3191,$0.3191 (-9.66%),$0.3746,$0.4054,2026-01-13 20:00 | 2026-01-15 16:00,$0.3746 | $0.3393,Alvo 1 (1.8R) | Trailing EMA20,R$ 0.03,R$ +9.92,"R$ +4,961.74",R$ 174.05
2026-01-08 16:00,SOL,Consolidação (1.8R),84/100,$137.5300,$137.5300 (-7.13%),$155.1726,$164.9740,2026-01-19 00:00,$137.5300,Stop no Breakeven,R$ 0.10,R$ -0.28,R$ -137.65,R$ 173.75
2026-01-16 04:00,BNB,Consolidação (1.8R),96/100,$934.0400,$906.6104 (-2.94%),$983.4134,$1010.8430,2026-01-19 00:00,$906.6104,Stop Loss Inicial,R$ 0.00,R$ -9.14,"R$ -4,570.43",R$ 164.83
2026-01-19 08:00,ETH,Consolidação (1.8R),78/100,$3223.9100,$3126.9200 (-3.01%),$3398.4920,$3495.4820,2026-01-20 04:00,$3126.9200,Stop Loss Inicial,R$ 0.00,R$ -8.65,"R$ -4,323.56",R$ 156.19
2026-01-08 12:00,RENDER,Consolidação (1.8R),84/100,$2.3200,$1.8496 (-20.28%),$3.1667,$3.6371,2026-01-22 12:00,$2.0050,Time-Stop (14d),R$ -0.05,R$ -5.51,"R$ -2,754.43",R$ 150.67
2026-01-28 04:00,BNB,Consolidação (1.8R),77/100,$903.3400,$855.3182 (-5.32%),$989.7792,$1037.8010,2026-01-29 16:00,$855.3182,Stop Loss Inicial,R$ 0.02,R$ -7.76,"R$ -3,878.29",R$ 142.82
2026-01-28 08:00,RENDER,Consolidação (1.8R),77/100,$1.9800,$1.7152 (-13.37%),$2.4567,$2.7215,2026-01-29 16:00,$1.7152,Stop Loss Inicial,R$ -0.01,R$ -7.60,"R$ -3,799.55",R$ 135.26
2026-01-28 08:00,PENDLE,Consolidação (1.8R),79/100,$2.0440,$1.7724 (-13.29%),$2.5328,$2.8044,2026-01-30 16:00,$1.7724,Stop Loss Inicial,R$ 0.03,R$ -7.63,"R$ -3,816.81",R$ 127.68
