# GOOGLE DRIVE INDEX - UPDATED 2026-05-17T23:56:04.483Z
# FORMAT: ID | PATH | SIZE | MODIFIED

1N0g9jjgxhDGQiD2Y_iOQAdlyPVZLRZyW | /Acadêmico/Curriculo/04_Producao_Bibliografica/04.1_Artigos_Publicados/2022 - [Artigo_Publicado] - volvo-de-colon-transverso-uma-causa-incomum-de-abdome-agudo-obstrutivo-relato-de-caso.pdf | 867.63 KB | 2026-05-16
1UmMWoS2DzN2gi0X8F04DZJ2EUkdf-xG4 | /Acadêmico/Curriculo/04_Producao_Bibliografica/04.1_Artigos_Publicados/2022 - [Artigo_Publicado] - NEUROENDOCRINE TUMOR OF THE MESENTERY CASE REPORT.pdf | 149.46 KB | 2026-05-16
1jL5GznR79V90r_lQBImBC-8xE5mWfLNi | /Acadêmico/Curriculo/04_Producao_Bibliografica/04.1_Artigos_Publicados/2022 - [Artigo_Publicado] - sarcoma-embrionario-indiferenciado-de-figado-relato-de-caso.pdf | 811.18 KB | 2026-05-16
1ec0HuxySREcJ3GDld22NJ8U3I6WI6Iq2 | /Acadêmico/Curriculo/04_Producao_Bibliografica/04.1_Artigos_Publicados/2022 - [Artigo_Publicado] - MESENTERIC THROMBOSIS AND VACCINATION AGAINST COVID-19 IS THERE A RELATIONSHIP.pdf | 94.78 KB | 2026-05-16
1kiuM3TMnI8Q-yhcZX-HMuwC_4At5ORni | /Acadêmico/Curriculo/06_Palestra_e_Premios/2017 - [Palestrante] - Apresentador - 5th advanced techniques.pdf | 273.09 KB | 2026-05-16
1BkVYBzZICEYM0TSzwuzYSQpVToFiYDqz | /Acadêmico/Curriculo/06_Palestra_e_Premios/2019 - [Palestrante] - IFMSA - Palestra.pdf | 247.37 KB | 2026-05-16
1-NOvrOvKGI4hxuzYWb3v0EZBBpVuypN4 | /Acadêmico/Curriculo/06_Palestra_e_Premios/2018 - [Premio] - Premio 1º lugar.pdf | 409.10 KB | 2026-05-16
1SJeHvlHkBxlS8WNTIuJg-qQVUZX0wgb1 | /Acadêmico/Curriculo/06_Palestra_e_Premios/2017 - [Premio] - Menção Honrosa.pdf | 373.65 KB | 2026-05-16
15nvN8R40rygMZh4cJ7E5i06liLhx7324 | /Acadêmico/Curriculo/07_Documentos_Gerais/2023 - [CV] - Curriculo Geral.docx | 175.41 KB | 2026-05-16
1XnMbXaIVfAHwBKqO6UlYm4DnzDk0Amgn | /Acadêmico/Curriculo/04_Producao_Bibliografica/04.2_Trabalhos_em_Anais/2018 - [Poster_Anais] - SONESP POSTER - Anatomia das Vias Opticas.pdf | 162.78 KB | 2026-05-16
1zC6iCaqu4vnMZwD0yhJXXXGlnCUK9MLk | /Acadêmico/Curriculo/04_Producao_Bibliografica/04.2_Trabalhos_em_Anais/2018 - [Poster_Anais] - XII CPN POSTER - Anatomia do Giro do Cingulo.pdf | 327.18 KB | 2026-05-16
1gxI2u5fP9Wrs74hxg-rgkCCqHrFmsI7h | /Acadêmico/Curriculo/04_Producao_Bibliografica/04.2_Trabalhos_em_Anais/2019 - [Poster_Anais] - Optogenética JBNC.pdf | 449.56 KB | 2026-05-16
144SLKhE0BESrFZNZG6guadYCPkuJ5dkq | /Acadêmico/Curriculo/04_Producao_Bibliografica/04.2_Trabalhos_em_Anais/2017 - [Poster_Anais] - JBNC Radiocir meningioma.pdf | 1.28 MB | 2026-05-16
1YT5_CULve5N6gOignGAZCSbpVOa0LShX | /Acadêmico/Curriculo/04_Producao_Bibliografica/04.2_Trabalhos_em_Anais/2019 - [Poster_Anais] - XII CPN POSTER - Hematoma subdural agudo em SAF.pdf | 291.24 KB | 2026-05-16
1FDj4J5EUrxCU5ykdn_T5SDG03E8QJ0eO | /Acadêmico/Curriculo/04_Producao_Bibliografica/04.2_Trabalhos_em_Anais/2019 - [Poster_Anais] - NEURODC19 POSTER - Anatomia da ACA.pdf | 281.71 KB | 2026-05-16
11Jy1pH6AhzS79tTtgprz5738eqgi9h4g | /Acadêmico/Curriculo/04_Producao_Bibliografica/04.2_Trabalhos_em_Anais/2019 - [Poster_Anais] - JBNC 2019 Individual.pdf | 1.52 MB | 2026-05-16
1RZ3eUSBSMcy6OJfLU-LTsWduYDfZYugg | /Acadêmico/Curriculo/04_Producao_Bibliografica/04.2_Trabalhos_em_Anais/2019 - [Poster_Anais] - Descompressão neurovascular trigemeo.pdf | 434.97 KB | 2026-05-16
1CsOO65fGgttdc3_QZ6VSXoyzJGSc7CdJ | /Acadêmico/Curriculo/04_Producao_Bibliografica/04.2_Trabalhos_em_Anais/2019 - [Poster_Anais] - awake IAMSPE.pdf | 334.96 KB | 2026-05-16
1z56RSvBk2Duag2D7oULIC3DNeSOfRxSJ | /Acadêmico/Curriculo/04_Producao_Bibliografica/04.2_Trabalhos_em_Anais/2017 - [Poster_Anais] - CBAN poster.pdf | 322.59 KB | 2026-05-16
1V9JfxVCaC8LQu6-I_11t-bedcFVOcTSQ | /Acadêmico/Curriculo/04_Producao_Bibliografica/04.2_Trabalhos_em_Anais/2017 - [Poster_Anais] - IC Radiocir IAMSPE.pdf | 204.58 KB | 2026-05-16
17_rtvzCXCCJsW1aKlIr6zB8eeZX33y5S | /Acadêmico/Curriculo/04_Producao_Bibliografica/04.2_Trabalhos_em_Anais/2018 - [Poster_Anais] - SONESP POSTER - Anatomia da capsula interna.pdf | 182.58 KB | 2026-05-16
1k4INaVSysofHjSbXK2cI-UWoAvI_2u1f | /Acadêmico/Curriculo/04_Producao_Bibliografica/04.2_Trabalhos_em_Anais/2018 - [Poster_Anais] - AJCR- Optogenetics.pdf | 566.28 KB | 2026-05-16
12IqpKDHxx0-wkEXC6atSTN_i4a5X_yNL | /Acadêmico/Curriculo/04_Producao_Bibliografica/04.2_Trabalhos_em_Anais/2018 - [Poster_Anais] - poster capsula interna novo.ppt | 2.72 MB | 2026-05-16
1bOV2cF2GgOTXSNnz5V39bahdjdI9miSb | /Acadêmico/Curriculo/04_Producao_Bibliografica/04.2_Trabalhos_em_Anais/2018 - [Poster_Anais] - Poster anatomia subgenual do cingulo.pdf | 288.51 KB | 2026-05-16
1Ri-immzFFURQp-2llmRaFDf1WtyKIMZP | /Acadêmico/Curriculo/04_Producao_Bibliografica/04.2_Trabalhos_em_Anais/2018 - [Poster_Anais] - Poster anatomia da insula.pdf | 288.66 KB | 2026-05-16
1a9fJtrp89Zq6Uk23mE5mqt2e83SNV7Lq | /Acadêmico/Curriculo/04_Producao_Bibliografica/04.2_Trabalhos_em_Anais/2018 - [Poster_Anais] - Optogenetics.pdf | 566.28 KB | 2026-05-16
1lLXnYZ9JPrZ66KerHRdEJzCYWsqSz_Y_ | /Acadêmico/Curriculo/04_Producao_Bibliografica/04.2_Trabalhos_em_Anais/2018 - [Poster_Anais] - poster tronco temporal.ppt | 4.82 MB | 2026-05-16
1zvQMdSmS7wz5j0ls5rZH2nCIoXTkTGU_ | /Acadêmico/Curriculo/04_Producao_Bibliografica/04.2_Trabalhos_em_Anais/2019 - [Poster_Anais] - hematoma.pdf | 1.11 MB | 2026-05-16
1wLTSoZvTApya_VQ3OxP3zjkMmQyXXtOh | /Acadêmico/Curriculo/04_Producao_Bibliografica/04.2_Trabalhos_em_Anais/2018 - [Poster_Anais] - poster vias opticasx.pptx | 354.98 KB | 2026-05-16
1gSn_-GRQ-2xT1IT71brSjkiZw1AtOeq0 | /Acadêmico/Curriculo/04_Producao_Bibliografica/04.2_Trabalhos_em_Anais/2017 - [Poster_Anais] - ABNc - Poster - cd recidiva glioblastomas.pdf | 399.15 KB | 2026-05-16
11ipj8EU7tn8N4DKT4CK6Cn0WKfLFIf7vOQ3hDk0DeNo | /PC Config | 3.09 KB | 2026-04-05
1c5_0eJLfQ-85yF_uhd3UEES3lB-KryXr | /Gemini Gems/PC | 2.45 KB | 2026-04-04
1mRm1J2dZyWyLgs_jecD5sg4_nsHfi0JrW_i0u6ImkmU | /[FORA_DO_ESCOPO]/Implante DBS | 252.01 KB | 2026-03-26
10FfsT6g_eGRlCL_lmVU6BT9tk4_JTjb- | /Prova r1 SBn  | 0 B | 2026-02-12
1NHY8gefgVCPCV93nUiej0oKlqlinlkwZ | /Acadêmico/Livros/Sabiston_Textbook_of_Surgery_The_Biological_Basis_of_Modern_Surgical_Practice_Townsend_ed_21_2021.pdf | 246.20 MB | 2025-08-30
1ogZ9OhfGOlsN-USqJpSFcHVHcthB0yF2 | /Acadêmico/Livros/日本語/Beginning Japanese for Professionals_ Book 1.pdf | 1.65 MB | 2025-06-21
1TOgvq6GEi3A89wjsuMPxVi54nUioSDFE | /Acadêmico/Livros/日本語/toaz.info-minna-no-nihongo-2-pr_bf5d2e820cda8e6570910d1e4df6d585.pdf | 18.17 MB | 2025-06-15
1R4ee1--DWYNpbwgCZRYJ4sl2XTDaBg_C | /Acadêmico/Livros/日本語/Learn Japanese from Zero! 1-5.pdf | 119.33 MB | 2025-06-15
1vuKqsjD66S5xXXWDjGw5Rx3mb05Htn9f | /Acadêmico/Livros/Tratado de ncr.pdf | 61.78 MB | 2025-04-30
1hi-XHwWTz4kqUX_FguSWKXz7-6kLQMGipJbeyxCIi2E | /Pessoal/Financeiro/Controle financeiro | 3.21 KB | 2024-10-20
1SyvkeCBGWFqxLvwPq2R7DmdcZuutRAwj | /Acadêmico/Logo.png | 524.21 KB | 2024-08-03
1475DA66VgIfYOjLIXvaNYMH5BFtBf0WQpgtmVcbEzhg | /Pessoal/Votos de Casamento | 3.43 KB | 2024-07-13
1SfTqEvZW58TdVaDvRks9PYXeBdjtw3hs | /Acadêmico/Livros/日本語/ひらがなとカタカナ/Katakana blank.png | 178.96 KB | 2024-01-12
1Kai_LtKfAU4TyrRN4Xwl9Q5oNUZArr2q | /Acadêmico/Livros/日本語/Genki 1 - Textbook.pdf | 42.42 MB | 2024-01-08
1HX4YNSR_CWt8bmj9qJUKkpEGKNw6AgnH | /Acadêmico/Livros/日本語/Genki 1 - Answer keys.pdf | 5.50 MB | 2024-01-08
1HyrNO28oimYQJh0kMGtPIUg3hRvmBVuz | /Acadêmico/Livros/日本語/Genki 1 - Workbook.pdf | 35.40 MB | 2024-01-08
1CndzjENbDyDlNOS8M_ui2UYtZ_sQmZR0 | /Acadêmico/Livros/日本語/ひらがなとカタカナ/combined-hiragana-and-katakana-japanese-character-kana-chart-18x24-white-organic-synthesis.jpg | 162.63 KB | 2024-01-02
15XYlQM3fHUbJWhwRh5yFeKHVpg4Cw3jZ | /Acadêmico/Livros/日本語/ひらがなとカタカナ/hiragana-japanese-character-kana-chart-18x24-white-organic-synthesis.jpg | 148.88 KB | 2024-01-02
1eRf8OptlrGnEKdhbyB4jD4PmK9Uz5c87 | /Acadêmico/Livros/日本語/ひらがなとカタカナ/hiragana-chart-1-1.png | 307.16 KB | 2024-01-02
1k9GGtTMXvjcIs8971qqOlfYmBssZZDtd | /Acadêmico/Livros/日本語/ひらがなとカタカナ/katakana-chart.png | 281.08 KB | 2024-01-02
